price,distance_from_CBD,distance_from_closest_private_school,distance_from_closest_public_school,distance_from_closest_station,Violent.Crime,Non.Violent.Crime,Drug.offences
920000,0.661419186,0.38,0.788,0.298,1369,36823,3663
1210000,0.753703447,0.243,0.478,0.163,1369,36823,3663
1750000,0.968281459,0.469,0.356,0.117,1369,36823,3663
1280000,1.034113655,0.371,0.751,0.233,1369,36823,3663
1060000,0.968281459,0.469,0.356,0.117,1369,36823,3663
1305000,0.746922521,0.846,0.232,0.176,1369,36823,3663
990000,0.971712646,0.471,0.357,0.12,1369,36823,3663
1115000,1.174898684,0.443,0.439,0.234,1369,36823,3663
778000,0.795654987,0.164,0.841,0.196,1369,36823,3663
813000,0.654125161,0.341,0.844,0.351,1369,36823,3663
1825000,0.258159886,0.228,0.862,0.116,1369,36823,3663
1750000,0.885467149,0.309,0.501,0.215,1369,36823,3663
1400000,0.403320108,0.207,0.819,0.257,1369,36823,3663
1580000,0.968884151,0.381,0.511,0.151,1369,36823,3663
950000,0.667364173,0.414,0.737,0.252,1369,36823,3663
1390000,1.16372193,0.501,0.633,0.186,1369,36823,3663
967500,1.090362014,0.539,0.444,0.192,1369,36823,3663
1340000,0.970435968,0.383,0.51,0.15,1369,36823,3663
1900000,0.943215746,1.162,0.303,0.204,1369,36823,3663
1398000,1.380564457,0.611,0.757,0.108,1369,36823,3663
1345000,1.293285617,0.63,0.592,0.099,1369,36823,3663
1900000,0.667364173,0.414,0.737,0.252,1369,36823,3663
1110000,0.557870067,0.294,0.5,0.131,1369,36823,3663
1600000,1.034113655,0.371,0.751,0.233,1369,36823,3663
1152800,1.53409035,0.591,0.776,0.213,1369,36823,3663
915000,0.968281459,0.469,0.356,0.117,1369,36823,3663
1100000,1.290067256,0.63,0.687,0.019,1369,36823,3663
1250000,1.064053412,0.663,0.822,0.114,1369,36823,3663
740000,1.600483312,0.497,0.815,0.187,1369,36823,3663
745000,1.584139293,0.504,0.833,0.179,1369,36823,3663
1160000,1.115413252,0.499,0.39,0.247,1369,36823,3663
1300000,0.753703447,0.243,0.478,0.163,1369,36823,3663
1460000,1.293285617,0.63,0.592,0.099,1369,36823,3663
1740000,0.667364173,0.414,0.737,0.252,1369,36823,3663
840000,1.177047343,0.437,0.42,0.259,1369,36823,3663
740000,0.551494624,0.298,0.502,0.134,1369,36823,3663
1000000,0.968884151,0.381,0.511,0.151,1369,36823,3663
1290000,0.718039161,0.281,0.434,0.125,1369,36823,3663
2100000,0.403320108,0.207,0.819,0.257,1369,36823,3663
810000,0.971712646,0.471,0.357,0.12,1369,36823,3663
1620000,1.188972567,0.527,0.697,0.122,1369,36823,3663
2100000,1.006922018,1.226,0.362,0.236,1369,36823,3663
1210000,1.53409035,0.591,0.776,0.213,1369,36823,3663
1270000,0.956991036,0.319,0.628,0.159,1369,36823,3663
1975000,0.839608755,0.819,0.238,0.233,1369,36823,3663
1030000,0.885467149,0.309,0.501,0.215,1369,36823,3663
1190000,0.718039161,0.281,0.434,0.125,1369,36823,3663
1885000,0.402114187,0.127,0.899,0.319,1369,36823,3663
1610000,0.948488686,0.4,0.44,0.171,1369,36823,3663
1250000,0.578436575,0.216,0.947,0.215,1369,36823,3663
745000,0.858071882,0.196,0.721,0.235,1369,36823,3663
