"","LGA","postal_code"
"1","Wollondilly","2508"
"2","Wollondilly","2560"
"3","Wollondilly","2568"
"4","Wollondilly","2569"
"5","Wollondilly","2570"
"6","Wollondilly","2571"
"7","Wollondilly","2572"
"8","Wollondilly","2573"
"9","Wollondilly","2574"
"10","Wollondilly","2745"
"11","Wollondilly","2752"
"12","Wollondilly","2787"
"13","Wingecarribee","2571"
"14","Wingecarribee","2574"
"15","Wingecarribee","2575"
"16","Wingecarribee","2576"
"17","Wingecarribee","2577"
"18","Wingecarribee","2578"
"19","Wingecarribee","2579"
"20","Wingecarribee","2580"
"21","Walcha","2354"
"22","Uralla","2350"
"23","Uralla","2354"
"24","Uralla","2358"
"25","Uralla","2359"
"26","Uralla","2365"
"27","Upper Lachlan Shire","2579"
"28","Upper Lachlan Shire","2580"
"29","Upper Lachlan Shire","2581"
"30","Upper Lachlan Shire","2582"
"31","Upper Lachlan Shire","2583"
"32","Upper Lachlan Shire","2787"
"33","Tweed","2483"
"34","Tweed","2484"
"35","Tweed","2485"
"36","Tweed","2486"
"37","Tweed","2487"
"38","Tweed","2488"
"39","Tweed","2489"
"40","Tweed","2490"
"41","Tenterfield","2371"
"42","Tenterfield","2372"
"43","Tenterfield","2469"
"44","Tenterfield","2475"
"45","Tenterfield","2476"
"46","Tenterfield","4375"
"47","Tenterfield","4377"
"48","Tenterfield","4380"
"49","Tenterfield","4383"
"50","Snowy Valleys","2611"
"51","Snowy Valleys","2627"
"52","Snowy Valleys","2629"
"53","Snowy Valleys","2640"
"54","Snowy Valleys","2642"
"55","Snowy Valleys","2649"
"56","Snowy Valleys","2652"
"57","Snowy Valleys","2653"
"58","Snowy Valleys","2720"
"59","Snowy Valleys","2722"
"60","Snowy Valleys","2729"
"61","Snowy Valleys","2730"
"62","Snowy Valleys","3707"
"63","Snowy Monaro Regional","2546"
"64","Snowy Monaro Regional","2551"
"65","Snowy Monaro Regional","2620"
"66","Snowy Monaro Regional","2621"
"67","Snowy Monaro Regional","2622"
