,FIRMS_18_lat,FIRMS_18_lng,FIRMS_18_cf,FIRMS_18_aq,dist_between,no,postal_code
1,-34.10368,150.96361,h,10/03/2019,12.87623114,46,2226
2,-34.10368,150.96361,h,10/03/2019,14.67718216,63,2229
3,-34.10368,150.96361,h,10/03/2019,13.7051609,147,2227
4,-34.10368,150.96361,h,10/03/2019,12.6698855,148,2227
5,-34.10368,150.96361,h,10/03/2019,4.919849415,151,2233
6,-34.10368,150.96361,h,10/03/2019,14.40325798,163,2232
7,-34.10368,150.96361,h,10/03/2019,14.98557582,180,2210
8,-34.10368,150.96361,h,10/03/2019,8.480053918,359,2233
9,-34.10368,150.96361,h,10/03/2019,14.36871802,360,2228
10,-34.10368,150.96361,h,10/03/2019,14.06950918,361,2228
11,-34.10368,150.96361,h,10/03/2019,13.10317308,402,2226
12,-34.10368,150.96361,h,10/03/2019,9.33143431,463,2233
13,-34.10368,150.96361,h,10/03/2019,5.288405014,464,2233
14,-34.10368,150.96361,h,10/03/2019,13.66634163,505,2227
15,-34.10368,150.96361,h,10/03/2019,10.66974569,552,2234
16,-34.10368,150.96361,h,10/03/2019,12.740167,635,2232
17,-34.10368,150.96361,h,10/03/2019,14.23124278,664,2234
18,-34.10368,150.96361,h,10/03/2019,13.97813981,717,2560
19,-34.10368,150.96361,h,10/03/2019,14.39188191,736,2229
20,-34.10368,150.96361,h,10/03/2019,6.661920688,821,2233
21,-34.10368,150.96361,h,10/03/2019,5.312029462,822,2233
22,-34.10368,150.96361,h,10/03/2019,13.96904046,868,2227
23,-34.10368,150.96361,h,10/03/2019,12.62686543,869,2227
24,-34.10368,150.96361,h,10/03/2019,14.02084445,883,2234
25,-34.10368,150.96361,h,10/03/2019,14.32547274,884,2232
26,-34.10368,150.96361,h,10/03/2019,14.86185921,885,2232
27,-34.10368,150.96361,h,10/03/2019,12.14315947,893,2232
28,-34.10368,150.96361,h,10/03/2019,11.49531714,934,2234
