F1.1 INTEREST RATES AND YIELDS – MONEY MARKET,,,,,,,,,,,
Title,Cash Rate Target,Interbank Overnight Cash Rate,1-month BABs/NCDs,3-month BABs/NCDs,6-month BABs/NCDs,1-month OIS,3-month OIS,6-month OIS,1-month Treasury Note,3- month Treasury Note,6- month Treasury Note
Description,Cash Rate Target; monthly average,Interbank Overnight Cash Rate; monthly average,Bank Accepted Bills/Negotiable Certificates of Deposit-1 month; monthly average,Bank Accepted Bills/Negotiable Certificates of Deposit-3 months; monthly average,Bank Accepted Bills/Negotiable Certificates of Deposit- 6 months; monthly average,Overnight Indexed Swaps-1 month; monthly average,Overnight Indexed Swaps-3 months; monthly average,Overnight Indexed Swaps-6 months; monthly average,Treasury Notes-1 month; monthly average,Treasury Notes-3 months; monthly average,Treasury Notes-6 months; monthly average
Frequency,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,See notes,See notes,See notes
Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Units,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent
,,,,,,,,,,,
,,,,,,,,,,,
Source,RBA,RBA,ASX,ASX,ASX,Tullett Prebon (Australia) Pty Ltd,Tullett Prebon (Australia) Pty Ltd,Tullett Prebon (Australia) Pty Ltd,RBA,RBA,RBA
Publication date,1-Apr-20,1-Apr-20,1-Apr-20,1-Apr-20,1-Apr-20,1-Apr-20,1-Apr-20,1-Apr-20,1-Apr-20,1-Apr-20,1-Apr-20
Series ID,FIRMMCRT,FIRMMCRI,FIRMMBAB30,FIRMMBAB90,FIRMMBAB180,FIRMMOIS1,FIRMMOIS3,FIRMMOIS6,FIRMMTN1,FIRMMTN3,FIRMMTN6
1/6/1969,,,,5.9,,,,,,,
1/7/1969,,,,5.8,,,,,,,
1/8/1969,,,,6.1,,,,,,,
1/9/1969,,,,5.8,,,,,,,
1/10/1969,,,,5.6,,,,,,,
1/11/1969,,,,5.7,,,,,,,
1/12/1969,,,,5.65,,,,,,,
1/1/1970,,,,5.8,,,,,,,
1/2/1970,,,,6.3,,,,,,,
1/3/1970,,,,7.15,,,,,,,
1/4/1970,,,,8.6,,,,,,,
1/5/1970,,,,9.1,,,,,,,
1/6/1970,,,,8.7,,,,,,,
1/7/1970,,,,7.4,,,,,,,
1/8/1970,,,,6.8,,,,,,,
1/9/1970,,,,6.35,,,,,,,
1/10/1970,,,,6.4,,,,,,,
1/11/1970,,,,6.2,,,,,,,
1/12/1970,,,,6.5,,,,,,,
1/1/1971,,,,6.6,,,,,,,
