"","...1","year","LGA","Nom","Postcode","Latitude","Longitude"
"1",1,2019,"Albury (C)","261",2640,-36.08,146.91
"2",2,2019,"Armidale Regional (A)","338",2350,-30.24,152.01
"3",3,2019,"Ballina (A)","181",2478,-28.87,153.56
"4",4,2019,"Balranald (A)","6",2715,-33.87,142.89
"5",5,2019,"Bathurst Regional (A)","155",2795,-33.91,149.33
"6",6,2019,"Bayside (A)","4543",2019,-33.96,151.21
"7",7,2019,"Bega Valley (A)","77",2550,-36.64,149.86
"8",8,2019,"Bellingen (A)","37",2454,-30.45,152.9
"9",9,2019,"Berrigan (A)","34",2712,-35.66,145.81
"10",10,2019,"Blacktown (C)","4303",2148,-33.79,150.87
"11",11,2019,"Bland (A)","7",2721,-33.99,147.68
"12",12,2019,"Blayney (A)","9",2799,-33.65,149.27
"13",13,2019,"Blue Mountains (C)","377",2780,-33.7203511,150.2918493
"14",14,2019,"Bogan (A)","6",2825,-31.94,146.48
"15",15,2019,"Bourke (A)","2",2840,-29.19,145.88
"16",16,2019,"Brewarrina (A)","1",2839,-30.2,146.54
"17",17,2019,"Broken Hill (C)","35",2880,-31.96,141.47
"18",18,2019,"Burwood (A)","1412",2134,-33.88,151.1
"19",19,2019,"Byron (A)","323",2481,-28.72,153.59
"20",20,2019,"Cabonne (A)","21",2866,-33.18,148.93
"21",21,2019,"Camden (A)","304",2570,-34.08,150.54
"22",22,2019,"Campbelltown (C) (NSW)","1335",2560,-34.08,150.83
"23",23,2019,"Canada Bay (A)","1267",2046,-33.85,151.13
"24",24,2019,"Canterbury-Bankstown (A)","5445",2193,-33.9,151.12
"25",25,2019,"Carrathool (A)","13",2711,-33.68,144.75
"26",26,2019,"Central Coast (C) (NSW)","1325",2250,-33.11,151.14
"27",27,2019,"Central Darling (A)","11",2836,-30.81,142.88
"28",28,2019,"Cessnock (C)","81",2325,-32.84,151.38
"29",29,2019,"Clarence Valley (A)","105",2790,-33.22,150.02
"30",30,2019,"Cobar (A)","17",2835,-32.03,144.44
"31",31,2019,"Coffs Harbour (C)","483",2450,-30.34,153.07
"32",32,2019,"Coolamon (A)","5",2701,-34.82,147.2
"33",33,2019,"Coonamble (A)","2",2829,-31.12,148.37
"34",34,2019,"Cootamundra-Gundagai Regional (A)","15",2590,-34.76,147.85
"35",35,2019,"Cowra (A)","17",2794,-33.91,148.46
"36",36,2019,"Cumberland (A)","5380",2756,-33.64,150.79
"37",37,2019,"Dubbo Regional (A)","222",2830,-32.2,148.9
"38",38,2019,"Dungog (A)","6",2420,-32.43,151.77
"39",39,2019,"Edward River (A)","29",2710,-35.23,144.49
"40",40,2019,"Eurobodalla (A)","91",2545,-36.15,149.71
"41",41,2019,"Fairfield (C)","2813",2165,-33.87,150.96
"42",42,2019,"Federation (A)","25",2646,-35.85,146.52
"43",43,2019,"Forbes (A)","14",2871,-33.5,148.31
"44",44,2019,"Georges River (A)","3692",2198,-33.91,150.98
"45",45,2019,"Gilgandra (A)","16",2827,-31.66,148.88
"46",46,2019,"Glen Innes Severn (A)","12",2370,-29.64,151.96
"47",47,2019,"Goulburn Mulwaree (A)","131",2580,-34.44,149.96
"48",48,2019,"Greater Hume Shire (A)","19",2644,-35.96,147.13
"49",49,2019,"Griffith (C)","292",2680,-34.26,146.1
"50",50,2019,"Gunnedah (A)","31",2380,-30.8,150.2
"51",51,2019,"Gwydir (A)","3",2404,-29.8,150.48
"52",52,2019,"Hawkesbury (C)","161",2777,-33.67,150.65
"53",53,2019,"Hay (A)","15",2711,-33.68,144.75
"54",54,2019,"Hilltops (A)","40",2586,-34.44,148.72
"55",55,2019,"Hornsby (A)","1675",2077,-33.69,151.11
"56",56,2019,"Hunters Hill (A)","78",2110,-33.83,151.15
"57",57,2019,"Inner West (A)","3293",2039,-33.8590207,151.1688434
"58",58,2019,"Inverell (A)","43",2360,-29.84,151.04
"59",59,2019,"Junee (A)","44",2663,-35.15,145.98
"60",60,2019,"Kempsey (A)","77",2440,-31.06,152.77
"61",61,2019,"Kiama (A)","98",2533,-34.66,150.85
"62",62,2019,"Ku-ring-gai (A)","1211",2080,-33.63,151.23
"63",63,2019,"Kyogle (A)","14",2474,-28.59,152.83
"64",64,2019,"Lachlan (A)","3",2877,-33.09,147.15
"65",65,2019,"Lake Macquarie (C)","563",2284,-32.93,151.63
"66",66,2019,"Lane Cove (A)","425",2066,-33.81,151.17
"67",67,2019,"Leeton (A)","35",2705,-34.49,146.43
"68",68,2019,"Lismore (C)","135",2480,-28.61,153.04
"69",69,2019,"Lithgow (C)","42",2790,-33.22,150.02
"70",70,2019,"Liverpool (C)","1986",2170,-33.95,150.91
"71",71,2019,"Liverpool Plains (A)","7",2343,-31.66,150.3
"72",72,2019,"Lockhart (A)","3",2656,-35.12,147
"73",73,2019,"Maitland (C)","211",2320,-32.69,151.53
"74",74,2019,"Mid-Coast (A)","192",2443,-31.58,152.74
"75",75,2019,"Mid-Western Regional (A)","58",2850,-32.86,149.8
"76",76,2019,"Moree Plains (A)","27",2400,-29.32,149.81
"77",77,2019,"Mosman (A)","344",2088,-33.83,151.24
"78",78,2019,"Murray River (A)","39",2731,-35.79,144.63
"79",79,2019,"Murrumbidgee (A)","18",2830,-32.2,148.9
"80",80,2019,"Muswellbrook (A)","60",2333,-32.39,150.47
