,NSW air quality monitoring (AQMN) site,AQMN Region,"Sub-region,where applicable",Site address,"Latitude
(South)","Longitude
(East)",Altitude (ahd),Commissioned,Status,Station type,Station Movement (m),PM10,PM2.5,TSP,NO/NO2/NOx,SO2,O3,NEPH,CO,NH3,WSP/WD/SD1,TEMP/RH,SOLAR,PRECIPITATION,,,,,
,Upper Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bulga,Upper Hunter,,1893 Putty Rd,-32.648705,151.03602,67,2011,Active,Standard - Australian Standards Methods,,ü,,,,,,,,,ü,ü,,ü,,,,,
,Camberwell,Upper Hunter,,Dulwich Place and McInerneys Rd,-32.472333,151.091803,82,2011,Active,Standard - Australian Standards Methods,,ü,ü,,,,,,,,ü,ü,,ü,,,,,
,Maison Dieu,Upper Hunter,,Maison Dieu Rd,-32.524967,151.061897,65,2011,Active,Standard - Australian Standards Methods,,ü,,,,,,,,,ü,ü,,,,,,,
,Mount Thorley,Upper Hunter,,154 Broke Rd,-32.635953,151.128129,74,2011,Active,Standard - Australian Standards Methods,,ü,,,,,,,,,ü,ü,,,,,,,
,Aberdeen,Upper Hunter,,"Abercairney Terrace, Aberdeen",-32.177344,150.884161,177,2011,Active,Standard - Australian Standards Methods,,ü,,,,,,,,,ü,ü,,ü,,,,,
,Jerrys Plains,Upper Hunter,,"Coolmore Stud, Jerrys Plains Rd",-32.4768165,150.8801514,87,2011,Active,Standard - Australian Standards Methods,,ü,,,,,,,,,ü,ü,,,,,,,
,Merriwa,Upper Hunter,," Lot 3, Merriwa Scone Rd",-32.125777,150.459299,406,2012,Active,Standard - Australian Standards Methods,,ü,,,,,,,,,ü,ü,,ü,,,,,
,Muswellbrook,Upper Hunter,,Bowman Park,-32.27159,150.885928,145,2010,Active,Standard - Australian Standards Methods,,ü,ü,,ü,ü,,,,,ü,ü,,ü,,,,,
,Muswellbrook NW,Upper Hunter,,Cnr Wybong Rd and Kayuga Rd,-32.253218,150.881251,143,2011,Active,Standard - Australian Standards Methods,,ü,,,,,,,,,ü,ü,,,,,,,
,Singleton,Upper Hunter,,Civic Avenue,-32.5574849,151.1768805,42,2010,Active,Standard - Australian Standards Methods,,ü,ü,,ü,ü,,,,,ü,ü,,ü,,,,,
,Singleton NW,Upper Hunter,,Near Rixs Creek coal mine,-32.529799,151.150079,123,2011 ,Active,Standard - Australian Standards Methods,,ü,,,,,,,,,ü,ü,,,,,,,
,Singleton South,Upper Hunter,,"Haggarty's Lane, Whittingham",-32.586919,151.208995,39,2011 ,Active,Standard - Australian Standards Methods,,ü,,,,,,,,,ü,ü,,,,,,,
,Warkworth,Upper Hunter,,"Warkworth, nr St Phillips Church",-32.57401,151.02721,60,2011 ,Active,Standard - Australian Standards Methods,,ü,,,,,,,,,ü,ü,,ü,,,,,
,Wybong,Upper Hunter,,"St Marks Church, Ridgelands Rd ",-32.195047,150.673511,190,2011 ,Active,Standard - Australian Standards Methods,,ü,,,,,,,,,ü,ü,,,,,,,
,Lower Hunter and Central Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Beresfield,Lower Hunter & Central Coast,Lower Hunter,Francis Greenway High School,-32.796787,151.661018,14,1993,Active,Standard - Australian Standards Methods,,ü,ü,,ü,ü,ü,ü,,,ü,ü,,,,,,,
,Carrington,Lower Hunter & Central Coast,Newcastle Local,Hargrave St & Garrett St,-32.909718,151.763302,5,2014,Active,Standard - Australian Standards Methods,,ü,ü,,ü,ü,,,,,ü,ü,,ü,,,,,
