Date,Sydney central-east,Sydney north-west,LIVERPOOL,OAKDALE,CAMDEN,CAMPBELLTOWN WEST,MACARTHUR,BRINGELLY,BARGO,WOLLONGONG,ALBION PARK STH,KEMBLA GRANGE,WALLSEND,BERESFIELD,NEWCASTLE,Central tablelands,WAGGA WAGGA,Wagga Wagga North,ALBURY,North-west slopes,MUSWELLBROOK,SINGLETON,MAISON DIEU,SINGLETON NW,CAMBERWELL,BULGA,MOUNT THORLEY,MUSWELLBROOK NW,WYBONG,ABERDEEN,SINGLETON SOUTH,JERRYS PLAINS,WARKWORTH,MERRIWA,WYONG,CARRINGTON,MAYFIELD,STOCKTON,Northern Tablelands,Research Monitoring,Roadsite Monitoring,Southern Tablelands,Emergency Monitoring - Lismore,Port Kembla Steelworks,Mid-North Coast
01/01/2015,71,55,64,64,64,64,64,64,64,74,74,74,79,79,79,49,54,54,54,,50,49,58,53,49,43,51,48,36,38,45,47,57,33,49,131,131,131,,,,,,,
02/01/2015,75,62,50,50,50,50,50,50,50,63,63,63,66,66,66,43,60,60,60,,21,24,28,17,24,29,25,23,15,17,24,30,26,17,66,67,67,67,,,,,,,
03/01/2015,50,70,78,78,78,78,78,78,78,49,49,49,43,43,43,28,40,40,40,,36,34,43,42,38,44,35,31,24,24,32,45,42,28,39,70,70,70,,,,,,,
04/01/2015,73,69,60,60,60,60,60,60,60,62,62,62,65,65,65,31,41,41,41,,40,34,40,38,38,34,34,40,26,32,31,31,38,23,53,87,87,87,,,,,,,
05/01/2015,59,52,50,50,50,50,50,50,50,41,41,41,55,55,55,19,32,32,32,,44,40,40,38,36,32,34,45,45,39,35,43,48,40,55,71,71,71,,,,,,,
06/01/2015,35,52,53,53,53,53,53,53,53,36,36,36,29,29,29,25,34,34,34,,37,25,27,26,23,32,26,36,44,32,22,43,41,36,24,38,38,38,,,,,,,
07/01/2015,30,52,60,60,60,60,60,60,60,31,31,31,24,24,24,32,46,46,46,,33,29,23,20,21,28,20,35,42,29,18,36,38,32,22,48,48,48,,,,,,,
08/01/2015,51,68,85,85,85,85,85,85,85,50,50,50,53,53,53,23,40,40,40,,48,42,50,52,44,50,44,43,30,37,35,46,56,30,47,98,98,98,,,,,,,
09/01/2015,70,75,86,86,86,86,86,86,86,76,76,76,68,68,68,27,40,40,40,,52,45,67,46,55,55,44,51,27,35,40,47,48,24,52,157,157,157,,,,,,,
10/01/2015,57,73,81,81,81,81,81,81,81,51,51,51,61,61,61,26,15,15,15,,39,42,59,45,45,41,49,40,37,38,39,44,52,37,38,126,126,126,,,,,,,
