date,location,AQI,latitude,longitude
01/01/2018,Randwick,50,-33.931776,151.242802
02/01/2018,Randwick,45,-33.931776,151.242802
03/01/2018,Randwick,48,-33.931776,151.242802
04/01/2018,Randwick,36,-33.931776,151.242802
05/01/2018,Randwick,40,-33.931776,151.242802
06/01/2018,Randwick,48,-33.931776,151.242802
07/01/2018,Randwick,86,-33.931776,151.242802
08/01/2018,Randwick,76,-33.931776,151.242802
09/01/2018,Randwick,55,-33.931776,151.242802
10/01/2018,Randwick,41,-33.931776,151.242802
11/01/2018,Randwick,40,-33.931776,151.242802
12/01/2018,Randwick,49,-33.931776,151.242802
13/01/2018,Randwick,48,-33.931776,151.242802
14/01/2018,Randwick,42,-33.931776,151.242802
15/01/2018,Randwick,42,-33.931776,151.242802
16/01/2018,Randwick,66,-33.931776,151.242802
17/01/2018,Randwick,53,-33.931776,151.242802
18/01/2018,Randwick,50,-33.931776,151.242802
19/01/2018,Randwick,44,-33.931776,151.242802
20/01/2018,Randwick,38,-33.931776,151.242802
21/01/2018,Randwick,32,-33.931776,151.242802
22/01/2018,Randwick,51,-33.931776,151.242802
23/01/2018,Randwick,41,-33.931776,151.242802
24/01/2018,Randwick,41,-33.931776,151.242802
25/01/2018,Randwick,33,-33.931776,151.242802
26/01/2018,Randwick,41,-33.931776,151.242802
27/01/2018,Randwick,55,-33.931776,151.242802
28/01/2018,Randwick,55,-33.931776,151.242802
29/01/2018,Randwick,42,-33.931776,151.242802
30/01/2018,Randwick,43,-33.931776,151.242802
31/01/2018,Randwick,47,-33.931776,151.242802
01/02/2018,Randwick,34,-33.931776,151.242802
02/02/2018,Randwick,25,-33.931776,151.242802
03/02/2018,Randwick,25,-33.931776,151.242802
04/02/2018,Randwick,23,-33.931776,151.242802
05/02/2018,Randwick,25,-33.931776,151.242802
06/02/2018,Randwick,31,-33.931776,151.242802
07/02/2018,Randwick,25,-33.931776,151.242802
08/02/2018,Randwick,38,-33.931776,151.242802
09/02/2018,Randwick,55,-33.931776,151.242802
10/02/2018,Randwick,45,-33.931776,151.242802
11/02/2018,Randwick,51,-33.931776,151.242802
12/02/2018,Randwick,53,-33.931776,151.242802
13/02/2018,Randwick,51,-33.931776,151.242802
14/02/2018,Randwick,75,-33.931776,151.242802
15/02/2018,Randwick,106,-33.931776,151.242802
16/02/2018,Randwick,69,-33.931776,151.242802
17/02/2018,Randwick,57,-33.931776,151.242802
18/02/2018,Randwick,66,-33.931776,151.242802
19/02/2018,Randwick,47,-33.931776,151.242802
20/02/2018,Randwick,33,-33.931776,151.242802
21/02/2018,Randwick,33,-33.931776,151.242802
22/02/2018,Randwick,48,-33.931776,151.242802
23/02/2018,Randwick,50,-33.931776,151.242802
24/02/2018,Randwick,55,-33.931776,151.242802
25/02/2018,Randwick,37,-33.931776,151.242802
26/02/2018,Randwick,37,-33.931776,151.242802
27/02/2018,Randwick,33,-33.931776,151.242802
28/02/2018,Randwick,50,-33.931776,151.242802
01/03/2018,Randwick,68,-33.931776,151.242802
02/03/2018,Randwick,40,-33.931776,151.242802
03/03/2018,Randwick,40,-33.931776,151.242802
04/03/2018,Randwick,66,-33.931776,151.242802
05/03/2018,Randwick,42,-33.931776,151.242802
06/03/2018,Randwick,41,-33.931776,151.242802
07/03/2018,Randwick,33,-33.931776,151.242802
