,Year,suburb,SAdvDisav_score,SAdvDisav_decile,ER_score,ER_decile,EDUOCC_score,EDUOCC_decile
1,2016,Aarons Pass,816,1,894,1,827,1
2,2016,Abbotsbury,1069,9,1128,10,1014,7
3,2016,Abbotsford,1091,10,1022,5,1112,10
4,2016,Abercrombie,1056,9,1100,10,1019,7
5,2016,Abercrombie River,972,4,1032,6,991,5
6,2016,Aberdare,851,1,903,1,837,1
7,2016,Aberdeen,915,2,987,3,851,1
8,2016,Aberfoyle,1056,9,1056,7,1101,10
9,2016,Aberglasslyn,1004,6,1060,8,944,3
10,2016,Abermain,891,1,977,3,846,1
11,2016,Abernethy,958,4,1036,6,896,1
12,2016,Abington,1036,8,1036,6,1110,10
13,2016,Acacia Creek,913,2,977,3,955,4
14,2016,Acacia Gardens,1105,10,1136,10,1051,8
15,2016,Adaminaby,929,2,968,3,945,3
16,2016,Adamstown,1013,7,974,3,1027,7
17,2016,Adamstown Heights,1073,9,1059,8,1071,9
18,2016,Adelong,906,2,967,2,880,1
19,2016,Adjungbilly,1024,7,1054,7,972,5
20,2016,Afterlee,952,3,979,3,969,4
21,2016,Agnes Banks,1049,9,1113,10,983,5
22,2016,Airds,638,1,673,1,732,1
23,2016,Akolele,771,1,760,1,886,1
24,2016,Albert,1058,9,1059,8,1098,10
25,2016,Albion Park,988,5,1051,7,939,3
26,2016,Albion Park Rail,910,2,967,2,883,1
27,2016,Albury,1028,8,963,2,1077,9
28,2016,Aldavilla,932,2,1026,5,900,2
29,2016,Alectown,1043,8,1062,8,1071,9
30,2016,Alexandria,1163,10,1004,4,1174,10
31,2016,Alfords Point,1119,10,1167,10,1065,9
32,2016,Alfredtown,1043,8,1083,9,1047,8
33,2016,Alison (Central Coast - NSW),1092,10,1169,10,1062,9
34,2016,Alison (Dungog - NSW),1017,7,1041,7,1055,9
35,2016,Allambie Heights,1109,10,1116,10,1088,10
36,2016,Allandale,1024,7,1078,9,985,5
37,2016,Allawah,1010,7,933,2,1034,8
38,2016,Alleena,1052,9,1092,9,1057,9
39,2016,Allgomera,894,1,960,2,923,2
40,2016,Allworth,922,2,968,3,928,3
41,2016,Allynbrook,968,4,1034,6,985,5
42,2016,Alma Park,1024,7,1069,8,1050,8
43,2016,Alpine,1078,10,1125,10,1040,8
44,2016,Alstonvale,1055,9,1081,9,1075,9
45,2016,Alstonville,981,5,988,3,997,6
46,2016,Alumy Creek,1019,7,1065,8,1021,7
47,2016,Amaroo,1041,8,1073,8,1037,8
48,2016,Ambarvale,888,1,922,1,885,1
49,2016,Amosfield,946,3,975,3,973,5
50,2016,Anabranch South,999,6,1056,7,988,5
51,2016,Anambah,1032,8,1094,9,967,4
52,2016,Ando,972,4,1009,4,999,6
53,2016,Anembo,1050,9,1065,8,1052,8
54,2016,Angledale,1008,6,1059,8,975,5
55,2016,Angledool,930,2,923,1,993,6
56,2016,Anglers Reach,1034,8,1059,8,1072,9
57,2016,Angourie,1042,8,1015,5,1099,10
58,2016,Anna Bay,951,3,999,4,935,3
59,2016,Annandale,1145,10,1029,6,1173,10
60,2016,Annangrove,1117,10,1175,10,1061,9
61,2016,Appin,1042,8,1124,10,960,4
62,2016,Apple Tree Flat,1043,8,1076,9,1012,7
63,2016,Appleby,1029,8,1058,8,1002,6
64,2016,Appletree Flat,943,3,1023,5,912,2
65,2016,Apsley,1000,6,1055,7,1024,7
66,2016,Arable,1072,9,1121,10,1047,8
67,2016,Arakoon,1022,7,1065,8,1030,7
68,2016,Araluen,1016,7,1026,6,1047,8
69,2016,Arcadia,1107,10,1151,10,1076,9
