rowname,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),61124036.22269612,15944039.62922824,3.833660580637605,1.279925668661939e-4
distance_cbd<20km,-490710.12581707217,24404.140753407708,-20.10765840008324,3.7853750496735655e-86
distance_cbd<30km,-994531.3434174489,103373.49877871209,-9.620757304020502,1.0607697300718663e-21
distance_cbd<5km,805261.0216289373,80612.34190330087,9.989301918493997,2.9768929791316684e-23
distance_cbd>=30km,-945176.1868150621,25258.650263607567,-37.419900784519086,9.745822053824866e-267
mean_taxable_income,12.992942736432948,0.39657337116137176,32.76302364524097,3.9648912835169045e-211
EDUOCC_decile,27845.44692964574,1917.7767878457423,14.519649578679491,1.0449899741870639e-46
no_of_bed4,77116.48569942398,8799.612577784066,8.763622832000133,2.645091406488179e-18
Nom.ratio,81976.0935041935,8605.338941469034,9.526189969014656,2.6001181838281746e-21
distance_from_closest_station,-1967.4673565082144,4560.26631073175,-0.4314369430307482,0.6661715691596349
Violent.Crime,13613.491183104325,3382.7873505990738,4.024341400204611,5.8083231976868195e-5
"house_size_cat(600,700]",31825.7407784334,7873.570325777509,4.042097734777092,5.3869241687936614e-5
avg_temp,3985.0277948614184,969.3441563528874,4.111055674854328,4.009452607101654e-5
year,-29987.220178634194,7898.851568235405,-3.796402542772849,1.487634582280208e-4
metropolitan_areaTRUE,-20650.484350506595,21582.024943737033,-0.9568372015295643,0.338701351536692
Within_5km_2019,-49131.84344409353,13641.252222598883,-3.6017106525381073,3.195771536983322e-4
Within_5km_2018Y,71737.91016019818,22975.636260991858,3.1223470525599826,0.0018056526237292384
distance_from_school,17005.071719003023,9366.502363268979,1.8155199304373129,0.06951124738341674
AQI_exclude_bushfire_month,-1524.6415882957199,906.2529480471802,-1.6823576591734803,0.0925695847970611
distance_from_closest_station:metropolitan_areaTRUE,15525.325869996166,4812.370718304218,3.2261284050591548,0.0012638442321411837
distance_cbd<30km:metropolitan_areaTRUE,205870.36485150937,101507.79025028483,2.0281237956604192,0.04260700183839069
