postcode,year,property_id,lga,lat,lon,date,price,address,suburb,url,no_of_bed,no_of_bath,no_of_parking,house_size,type,distance_from_CBD,median_taxable_income,mean_taxable_income,AQI,AQI_exclude_bushfire_month,Within_5km_2019,Btwn_5_10km_2019,Btwn_10_15km_2019,Within_5km_2018,Btwn_5_10km_2018,Btwn_10_15km_2018,Drug.offences,Non.Violent.Crime,Violent.Crime,distance_from_closest_station,distance_from_closest_public_school,distance_from_closest_private_school,metropolitan_area,Nom.number,Nom.ratio,Year,SAdvDisav_score,SAdvDisav_decile,ER_score,ER_decile,EDUOCC_score,EDUOCC_decile,avg_temp,distance_from_school,distance_cbd,distance_public_school,distance_private_school,distance_station,house_size_cat,no_of_bed_num,no_of_bath_num,no_of_parking_num
2018,2019,4192,Bayside Council,-33.9303106,151.2127696,11/02/2019,1575000,"38 Vernon Avenue, EASTLAKES NSW 2018",eastlakes,https://www.domain.com.au/38-vernon-avenue-eastlakes-nsw-2018-2014776548,4,2,2,512,House,6.83033407,46512,57443,56.24979458,46.52414773,0,0,0,Y,0,0,6.237497887100502,6.570268562683505,6.912600989292736,2.474,0.268,1.172,TRUE,4543,2.55,2016,941,3,887,1,975,5,0,0.003,<10km,<1.5km,<1.5km,<5km,"(500,600]",4,2,2
2018,2019,4289,Council of the City of Sydney,-33.9203917,151.202071,29/10/2019,2100000,"39 Harcourt Parade, ROSEBERY NSW 2018",rosebery,https://www.domain.com.au/39-harcourt-parade-rosebery-nsw-2018-2015805148,3,2,2,611,House,5.761510539,46512,57443,56.24979458,46.52414773,0,0,0,Y,0,0,6.237497887100502,6.570268562683505,6.912600989292736,1.392,0.374,0.607,TRUE,6471,2.6,2016,1078,10,984,3,1081,9,19,0.003,<10km,<1.5km,<1.5km,<2km,"(600,700]",3,2,2
2018,2019,4301,Council of the City of Sydney,-33.9169461,151.208309,31/08/2019,2100000,"69 Dalmeny Avenue, ROSEBERY NSW 2018",rosebery,https://www.domain.com.au/69-dalmeny-avenue-rosebery-nsw-2018-2015510045,4,2,2,556,House,5.341173887,46512,57443,56.24979458,46.52414773,0,0,0,Y,0,0,6.237497887100502,6.570268562683505,6.912600989292736,1.292,1.035,1.161,TRUE,6471,2.6,2016,1078,10,984,3,1081,9,14.5,0.003,<10km,<1.5km,<1.5km,<2km,"(500,600]",4,2,2
2018,2019,4360,Council of the City of Sydney,-33.9171827,151.2045298,9/03/2019,1810000,"99 Rothschild Avenue, ROSEBERY NSW 2018",rosebery,https://www.domain.com.au/99-rothschild-avenue-rosebery-nsw-2018-2014924126,4,2,2,583,House,5.384740194,46512,57443,56.24979458,46.52414773,0,0,0,Y,0,0,6.237497887100502,6.570268562683505,6.912600989292736,1.221,0.713,1.008,TRUE,6471,2.6,2016,1078,10,984,3,1081,9,23,0.003,<10km,<1.5km,<1.5km,<2km,"(500,600]",4,2,2
2018,2018,4402,Council of the City of Sydney,-33.920879,151.199749,13/10/2018,1750000,"13 Durdans Avenue, ROSEBERY NSW 2018",rosebery,https://www.domain.com.au/13-durdans-avenue-rosebery-nsw-2018-2014649525,4,2,2,562,House,5.843793383,46512,57443,56.24979458,46.52414773,0,0,0,Y,0,0,6.237497887100502,6.570268562683505,6.912600989292736,1.17,0.161,0.561,TRUE,6471,2.6,2016,1078,10,984,3,1081,9,19,0.003,<10km,<1.5km,<1.5km,<2km,"(500,600]",4,2,2
2018,2018,4449,Council of the City of Sydney,-33.9183217,151.2053949,24/05/2018,2361000,"42 Primrose Avenue, ROSEBERY NSW 2018",rosebery,https://www.domain.com.au/42-primrose-avenue-rosebery-nsw-2018-2014373324,4,2,2,540,House,5.504834241,46512,57443,56.24979458,46.52414773,0,0,0,Y,0,0,6.237497887100502,6.570268562683505,6.912600989292736,1.359,0.728,0.92,TRUE,6471,2.6,2016,1078,10,984,3,1081,9,17,0.003,<10km,<1.5km,<1.5km,<2km,"(500,600]",4,2,2
2018,2018,4489,Council of the City of Sydney,-33.9215803,151.2061917,3/03/2018,2330000,"58 Tweedmouth Avenue, ROSEBERY NSW 2018",rosebery,https://www.domain.com.au/58-tweedmouth-avenue-rosebery-nsw-2018-2014149554,4,2,2,651,House,5.861472602,46512,57443,56.24979458,46.52414773,0,0,0,Y,0,0,6.237497887100502,6.570268562683505,6.912600989292736,1.728,0.761,0.664,TRUE,6471,2.6,2016,1078,10,984,3,1081,9,23,0.003,<10km,<1.5km,<1.5km,<2km,"(600,700]",4,2,2
2019,2019,4543,Bayside Council,-33.9548475,151.2023442,13/11/2019,1920000,"9 Anniversary Street, BOTANY NSW 2019",botany,https://www.domain.com.au/9-anniversary-street-botany-nsw-2019-2015754659,3,2,2,669,House,9.566110019,56017,65432,56.24979458,46.52414773,0,0,0,Y,0,0,5.540456208801184,6.146231489541456,6.084438650943395,3.091,0.413,1.064,TRUE,4543,2.55,2016,1068,9,1036,6,1045,8,21,0.003,<10km,<1.5km,<1.5km,<5km,"(600,700]",3,2,2
2019,2018,4689,Bayside Council,-33.9431201,151.201297,4/10/2018,1520000,"72 Banksia Street, BOTANY NSW 2019",botany,https://www.domain.com.au/72-banksia-street-botany-nsw-2019-2014594965,3,2,2,522,House,8.276798645,56017,65432,56.24979458,46.52414773,0,0,0,Y,0,0,5.540456208801184,6.146231489541456,6.084438650943395,2.186,0.48,0.284,TRUE,4543,2.55,2016,1068,9,1036,6,1045,8,19.1,0.003,<10km,<1.5km,<1.5km,<5km,"(500,600]",3,2,2
2019,2018,4695,Bayside Council,-33.9442099,151.2013425,21/09/2018,1850000,"105 Tenterden Road, BOTANY NSW 2019",botany,https://www.domain.com.au/105-tenterden-road-botany-nsw-2019-2014523226,4,2,2,503,House,8.396833093,56017,65432,56.24979458,46.52414773,0,0,0,Y,0,0,5.540456208801184,6.146231489541456,6.084438650943395,2.251,0.512,0.183,TRUE,4543,2.55,2016,1068,9,1036,6,1045,8,17.6,0.003,<10km,<1.5km,<1.5km,<5km,"(500,600]",4,2,2
2019,2018,4714,Bayside Council,-33.941614,151.205577,31/07/2018,2180000,"231 Bay Street, BOTANY NSW 2019",botany,https://www.domain.com.au/231-bay-street-botany-nsw-2019-2014510244,4,2,2,560,House,8.08391464,56017,65432,56.24979458,46.52414773,0,0,0,Y,0,0,5.540456208801184,6.146231489541456,6.084438650943395,2.476,0.796,0.666,TRUE,4543,2.55,2016,1068,9,1036,6,1045,8,14.3,0.003,<10km,<1.5km,<1.5km,<5km,"(500,600]",4,2,2
2019,2018,4748,Bayside Council,-33.9467283,151.207626,7/05/2018,1825000,"27 Hambly Street, BOTANY NSW 2019",botany,https://www.domain.com.au/27-hambly-street-botany-nsw-2019-2016050092,3,2,2,568,House,8.645249596,56017,65432,56.24979458,46.52414773,0,0,0,Y,0,0,5.540456208801184,6.146231489541456,6.084438650943395,2.893,0.783,0.716,TRUE,4543,2.55,2016,1068,9,1036,6,1045,8,16.8,0.003,<10km,<1.5km,<1.5km,<5km,"(500,600]",3,2,2
2020,2019,4860,Bayside Council,-33.9355039,151.1971082,14/08/2019,1500000,"21 McBurney Avenue, MASCOT NSW 2020",mascot,https://www.domain.com.au/21-mcburney-avenue-mascot-nsw-2020-2015296272,4,2,2,525,House,7.484273134,48642,57420,56.24979458,46.52414773,0,0,0,Y,0,0,6.661477396694916,6.868135441598635,6.887594077893845,1.543,0.795,1.136,TRUE,4543,2.55,2016,1073,9,968,3,1067,9,14.5,0.003,<10km,<1.5km,<1.5km,<2km,"(500,600]",4,2,2
2020,2019,4861,Bayside Council,-33.9302423,151.1975407,12/08/2019,1650000,"170 King Street, MASCOT NSW 2020",mascot,https://www.domain.com.au/170-king-street-mascot-nsw-2020-2015467205,4,2,2,560,House,6.901460432,48642,57420,56.24979458,46.52414773,0,0,0,Y,0,0,6.661477396694916,6.868135441598635,6.887594077893845,1.213,0.503,0.592,TRUE,4543,2.55,2016,1073,9,968,3,1067,9,14.5,0.003,<10km,<1.5km,<1.5km,<2km,"(500,600]",4,2,2
2020,2018,5018,Bayside Council,-33.9271437,151.1981554,3/03/2018,2340000,"57 Middlemiss Street, MASCOT NSW 2020",mascot,https://www.domain.com.au/57-middlemiss-street-mascot-nsw-2020-2014140362,3,2,2,594,House,6.553098303,48642,57420,56.24979458,46.52414773,0,0,0,Y,0,0,6.661477396694916,6.868135441598635,6.887594077893845,1.084,0.342,0.311,TRUE,4543,2.55,2016,1073,9,968,3,1067,9,23,0.003,<10km,<1.5km,<1.5km,<2km,"(500,600]",3,2,2
2022,2019,5868,Waverley Council,-33.8991985,151.2482012,19/10/2019,4250000,"68 Queens Park Road, QUEENS PARK NSW 2022",queens park,https://www.domain.com.au/68-queens-park-road-queens-park-nsw-2022-2015677557,4,2,2,663,House,4.931547036,53625,88690,56.24979458,46.52414773,0,0,0,N,1,0,7.906233703652716,7.213225725170588,7.133288239861409,0.813,0.329,0.313,TRUE,1227,1.65,2016,1162,10,1080,9,1177,10,18,0.003,<5km,<1.5km,<1.5km,<1km,"(600,700]",4,2,2
2024,2019,6264,Waverley Council,-33.9078565,151.2635568,28/01/2020,4100000,"49 St Thomas Street, BRONTE NSW 2024",bronte,https://www.domain.com.au/49-st-thomas-street-bronte-nsw-2024-2016026440,4,2,2,516,House,6.630121336,63839,117744,56.24979458,46.52414773,0,0,0,N,1,0,5.213861113899124,6.183589335658173,5.741895684683925,2.262,0.307,0.533,TRUE,1227,1.65,2016,1164,10,1076,9,1173,10,22,0.003,<10km,<1.5km,<1.5km,<5km,"(500,600]",4,2,2
2024,2018,6374,Waverley Council,-33.8988475,151.2652358,4/08/2018,4116000,"5 Alfred Street, BRONTE NSW 2024",bronte,https://www.domain.com.au/5-alfred-street-bronte-nsw-2024-2014493233,3,2,2,560,House,6.155077753,63839,117744,56.24979458,46.52414773,0,0,0,N,1,0,5.213861113899124,6.183589335658173,5.741895684683925,1.742,0.356,0.656,TRUE,1227,1.65,2016,1164,10,1076,9,1173,10,13.5,0.003,<10km,<1.5km,<1.5km,<2km,"(500,600]",3,2,2
2024,2019,6436,Waverley Council,-33.9071163,151.2584491,21/08/2019,4025000,"17 Barclay Street, WAVERLEY NSW 2024",waverley,https://www.domain.com.au/17-barclay-street-waverley-nsw-2024-2015468539,4,2,2,560,House,6.223696409,63839,117744,56.24979458,46.52414773,0,0,0,N,1,0,5.213861113899124,6.183589335658173,5.741895684683925,1.931,0.173,0.38,TRUE,1227,1.65,2016,1117,10,1006,4,1148,10,13.5,0.003,<10km,<1.5km,<1.5km,<2km,"(500,600]",4,2,2
2026,2019,6880,Waverley Council,-33.8944865,151.269472,16/08/2019,3800000,"310 Bondi Road, BONDI NSW 2026",bondi,https://www.domain.com.au/310-bondi-road-bondi-nsw-2026-2015394778,4,2,2,694,House,6.25344263,57397,94839,56.24979458,46.52414773,0,0,0,N,1,0,8.224574054241254,7.170892848817955,7.797569500116438,1.969,0.483,0.535,TRUE,1227,1.65,2016,1125,10,965,2,1152,10,13.5,0.003,<10km,<1.5km,<1.5km,<2km,"(600,700]",4,2,2
2029,2018,8190,Woollahra Municipal Council,-33.8743207,151.2719975,20/11/2018,4290000,"26 Albemarle Avenue, ROSE BAY NSW 2029",rose bay,https://www.domain.com.au/26-albemarle-avenue-rose-bay-nsw-2029-2014692613,4,2,2,585,House,5.833229054,61936,117913,76.35652174,32.17045455,0,0,0,N,1,0,4.361293454932204,5.763001440733257,5.105572101977476,2.85,0.174,0.415,TRUE,681,1.15,2016,1147,10,1043,7,1169,10,20,0.003,<10km,<1.5km,<1.5km,<5km,"(500,600]",4,2,2
2030,2019,8312,Waverley Council,-33.8828707,151.2836714,16/08/2019,4875000,"46 Wentworth Street, DOVER HEIGHTS NSW 2030",dover heights,https://www.domain.com.au/46-wentworth-street-dover-heights-nsw-2030-2015209562,4,2,2,550,House,7.055551377,66941,178282,76.35652174,32.17045455,0,0,0,N,1,0,5.459689151958777,5.884522368058795,5.448467583806998,3.369,0.635,0.611,TRUE,1227,1.65,2016,1182,10,1145,10,1191,10,13.5,0.003,<10km,<1.5km,<1.5km,<5km,"(500,600]",4,2,2
2030,2018,8371,Waverley Council,-33.8794337,151.2816801,17/03/2018,3850000,"2 Douglas Parade, DOVER HEIGHTS NSW 2030",dover heights,https://www.domain.com.au/2-douglas-parade-dover-heights-nsw-2030-2014175198,4,2,2,573,House,6.799746736,66941,178282,76.35652174,32.17045455,0,0,0,N,1,0,5.459689151958777,5.884522368058795,5.448467583806998,3.32,0.528,0.794,TRUE,1227,1.65,2016,1182,10,1145,10,1191,10,21.5,0.003,<10km,<1.5km,<1.5km,<5km,"(500,600]",4,2,2
2032,2019,9525,Randwick City Council,-33.9213482,151.2334857,13/04/2019,2600000,"48 Middle Street, KINGSFORD NSW 2032",kingsford,https://www.domain.com.au/48-middle-street-kingsford-nsw-2032-2015016131,4,2,2,600,House,6.243251431,43880,62100,56.24979458,46.52414773,0,0,0,Y,0,0,5.8425717323787945,6.389556707931943,6.400752901770438,0.574,0.5,0.934,TRUE,4138,2.66,2016,1064,9,880,1,1121,10,20.4,0.003,<10km,<1.5km,<1.5km,<1km,"(500,600]",4,2,2
2033,2019,9679,Randwick City Council,-33.9145244,151.2247018,30/11/2019,2455000,"188 Doncaster Avenue, KENSINGTON NSW 2033",kensington,https://www.domain.com.au/188-doncaster-avenue-kensington-nsw-2033-2015843216,4,2,2,601,House,5.268074632,48570,72478,56.24979458,46.52414773,0,0,0,Y,0,0,6.0136276656844325,6.04387286862833,5.269391015016251,0.973,0.546,0.424,TRUE,4138,2.66,2016,1105,10,944,2,1144,10,21.8,0.003,<10km,<1.5km,<1.5km,<1km,"(600,700]",4,2,2
2033,2019,9711,Randwick City Council,-33.9178375,151.2223339,2/09/2019,3300000,"38 Mooramie Avenue, KENSINGTON NSW 2033",kensington,https://www.domain.com.au/38-mooramie-avenue-kensington-nsw-2033-2015519275,4,2,2,516,House,5.571277505,48570,72478,56.24979458,46.52414773,0,0,0,Y,0,0,6.0136276656844325,6.04387286862833,5.269391015016251,1.183,0.945,0.621,TRUE,4138,2.66,2016,1105,10,944,2,1144,10,17,0.003,<10km,<1.5km,<1.5km,<2km,"(500,600]",4,2,2
2033,2018,9796,Randwick City Council,-33.913546,151.2185771,10/08/2018,2900000,"30 Tunstall Avenue, KENSINGTON NSW 2033",kensington,https://www.domain.com.au/30-tunstall-avenue-kensington-nsw-2033-2014509608,3,2,2,612,House,5.036887098,48570,72478,56.24979458,46.52414773,0,0,0,Y,0,0,6.0136276656844325,6.04387286862833,5.269391015016251,1.304,0.735,0.148,TRUE,4138,2.66,2016,1105,10,944,2,1144,10,14.4,0.003,<10km,<1.5km,<1.5km,<2km,"(600,700]",3,2,2
