"X1","date","suburb","property_type","property_prices","no_of_bed","no_of_bath","no_of_parking","house_size","built_in_wardrobes","close_to_schools","close_to_shops","close_to_transport","secure_parking","balcony","air_conditioning","formal_lounge","garden","north_rear_facing","separate_dining","security_alarm","swimming_pool","broadband","dishwasher","gas","heating","internal_laundry","carpeted","ocean_views","city_views","gym","administrative_area_level_2","postal_code","latitude","longtitude"
1,2020-04-04,"Alexandria","Unit","862000",2,2,1,108,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Council of the City of Sydney",2015,-33.9034254,151.2018405
2,2020-04-04,"Alexandria","Unit","730000",2,1,1,120,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Council of the City of Sydney",2015,-33.9073207,151.1903752
3,2020-04-04,"Allambie Heights","House","1760000",4,2,3,582,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northern Beaches Council",2100,-33.7622732,151.2502962
5,2020-04-04,"Annandale","House","1245000",2,1,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Inner West Council",2038,-33.8851489,151.1656842
6,2020-04-04,"Annandale","House","1800000",3,2,2,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Inner West Council",2038,-33.8808487,151.172766
9,2020-04-04,"Arncliffe","Unit","575000",1,1,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bayside Council",2205,-33.9375452,151.1495054
10,2020-04-04,"Arncliffe","Unit","765000",2,2,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bayside Council",2205,-33.9327632,151.1481825
11,2020-04-04,"Arncliffe","House","1050000",2,1,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bayside Council",2205,-33.9335314,151.139391
14,2020-04-04,"Artarmon","Unit","940000",2,1,1,108,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"City of Willoughby",2064,-33.8072577,151.181606
16,2020-04-04,"Ashfield","Unit","850000",2,1,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Inner West Council",2131,-33.892249,151.1315358
