,postcode,suburb,state,latitude,longitude
1,1001,Sydney,NSW,-33.79,151.27
2,1002,Sydney,NSW,-33.79,151.27
3,1003,Sydney,NSW,-33.79,151.27
4,1004,Sydney,NSW,-33.79,151.27
5,1005,Sydney,NSW,-33.79,151.27
6,1006,Sydney,NSW,-33.79,151.27
7,1007,Sydney,NSW,-33.79,151.27
8,1008,Sydney,NSW,-33.79,151.27
9,1009,Sydney,NSW,-33.79,151.27
10,1010,Sydney,NSW,-33.79,151.27
11,1011,Sydney,NSW,-33.79,151.27
12,1020,Sydney,NSW,-33.79,151.27
13,1021,Sydney,NSW,-33.79,151.27
14,1022,Sydney,NSW,-33.79,151.27
15,1023,Sydney,NSW,-33.79,151.27
16,1025,Sydney,NSW,-33.79,151.27
17,1026,Sydney,NSW,-33.79,151.27
18,1027,Sydney,NSW,-33.79,151.27
19,1028,Sydney,NSW,-33.79,151.27
20,1029,Sydney,NSW,-33.79,151.27
21,1030,Sydney,NSW,-33.79,151.27
22,1031,Sydney,NSW,-33.79,151.27
23,1032,Sydney,NSW,-33.66,150.87
24,1033,Sydney,NSW,-33.79,151.27
25,1034,Sydney,NSW,-33.79,151.27
26,1035,Sydney,NSW,-33.79,151.27
27,1036,Sydney,NSW,-33.79,151.27
28,1037,Sydney,NSW,-33.79,151.27
29,1038,Sydney,NSW,-33.79,151.27
30,1039,Sydney,NSW,-33.79,151.27
31,1040,Sydney,NSW,-33.79,151.27
32,1041,Sydney,NSW,-33.79,151.27
33,1042,Sydney,NSW,-33.79,151.27
34,1043,Sydney,NSW,-33.79,151.27
35,1044,Sydney,NSW,-33.79,151.27
36,1045,Sydney,NSW,-33.79,151.27
37,1046,Sydney,NSW,-33.79,151.27
38,1100,Sydney,NSW,-33.79,151.27
39,1101,Sydney,NSW,-33.79,151.27
40,1105,Sydney,NSW,-33.79,151.27
41,1106,Sydney,NSW,-33.79,151.27
42,1107,Sydney,NSW,-33.79,151.27
43,1108,Sydney,NSW,-33.79,151.27
44,1109,Sydney,NSW,-33.79,151.27
45,1110,Sydney,NSW,-33.79,151.27
46,1112,Sydney,NSW,-33.79,151.27
47,1113,Sydney,NSW,-33.79,151.27
48,1114,Sydney,NSW,-33.79,151.27
49,1115,Sydney,NSW,-33.79,151.27
50,1116,Sydney,NSW,-33.67,150.87
51,1117,Sydney,NSW,-33.66,150.87
52,1118,Sydney,NSW,-33.79,151.27
53,1119,Sydney,NSW,-33.79,151.27
54,1120,Sydney,NSW,-33.79,151.27
55,1121,Sydney,NSW,-33.79,151.27
56,1122,Sydney,NSW,-33.79,151.27
57,1123,Sydney,NSW,-33.79,151.27
58,1124,Sydney,NSW,-33.79,151.27
59,1125,Sydney,NSW,-33.79,151.27
60,1126,Sydney,NSW,-33.79,151.27
61,1127,Sydney,NSW,-33.79,151.27
62,1128,Sydney,NSW,-33.79,151.27
63,1129,Sydney,NSW,-33.79,151.27
64,1130,Sydney,NSW,-33.79,151.27
65,1131,Sydney,NSW,-33.79,151.27
66,1132,Sydney,NSW,-33.66,150.87
67,1133,Sydney,NSW,-33.79,151.27
68,1134,Sydney,NSW,-33.79,151.27
69,1135,Sydney,NSW,-33.79,151.27
70,1136,Sydney,NSW,-33.79,151.27
71,1137,Sydney,NSW,-33.79,151.27
72,1138,Sydney,NSW,-33.79,151.27
73,1139,Sydney,NSW,-33.79,151.27
74,1140,Sydney,NSW,-33.79,151.27
75,1141,Sydney,NSW,-33.79,151.27
76,1142,Sydney,NSW,-33.79,151.27
77,1143,Sydney,NSW,-33.79,151.27
78,1144,Sydney,NSW,-33.79,151.27
79,1145,Sydney,NSW,-33.79,151.27
80,1146,Sydney,NSW,-33.79,151.27
81,1147,Sydney,NSW,-33.79,151.27
82,1148,Sydney,NSW,-33.79,151.27
83,1149,Sydney,NSW,-33.79,151.27
84,1150,Sydney,NSW,-33.79,151.27
85,1151,Sydney,NSW,-33.79,151.27
86,1152,Sydney,NSW,-33.79,151.27
87,1153,Sydney,NSW,-33.79,151.27
88,1154,Sydney,NSW,-33.79,151.27
89,1155,Sydney,NSW,-33.79,151.27
90,1156,Sydney,NSW,-33.79,151.27
91,1157,Sydney,NSW,-33.79,151.27
92,1158,Sydney,NSW,-33.79,151.27
93,1159,Sydney,NSW,-33.79,151.27
94,1160,Sydney,NSW,-33.79,151.27
95,1161,Sydney,NSW,-33.79,151.27
96,1162,Sydney,NSW,-33.79,151.27
97,1163,Sydney,NSW,-33.79,151.27
98,1164,Sydney,NSW,-33.79,151.27
99,1165,Sydney,NSW,-33.79,151.27
100,1166,Sydney,NSW,-33.79,151.27
101,1167,Sydney,NSW,-33.79,151.27
102,1168,Sydney,NSW,-33.79,151.27
103,1169,Sydney,NSW,-33.79,151.27
104,1170,Sydney,NSW,-33.79,151.27
105,1171,Sydney,NSW,-33.79,151.27
106,1172,Sydney,NSW,-33.79,151.27
107,1173,Sydney,NSW,-33.79,151.27
108,1174,Sydney,NSW,-33.79,151.27
109,1175,Sydney,NSW,-33.79,151.27
110,1176,Sydney,NSW,-33.79,151.27
111,1177,Sydney,NSW,-33.79,151.27
112,1178,Sydney,NSW,-33.79,151.27
113,1179,Sydney,NSW,-33.79,151.27
114,1180,Sydney,NSW,-33.79,151.27
115,1181,Sydney,NSW,-33.79,151.27
116,1182,Sydney,NSW,-33.79,151.27
117,1183,Sydney,NSW,-33.79,151.27
118,1184,Sydney,NSW,-33.79,151.27
119,1185,Sydney,NSW,-33.79,151.27
120,1186,Sydney,NSW,-33.79,151.27
121,1187,Sydney,NSW,-33.79,151.27
122,1188,Sydney,NSW,-33.79,151.27
123,1189,Sydney,NSW,-33.79,151.27
124,1190,Sydney,NSW,-33.79,151.27
125,1191,Sydney,NSW,-33.79,151.27
126,1192,Sydney,NSW,-34.79,147.69
127,1193,Sydney,NSW,-33.79,151.27
128,1194,Sydney,NSW,-33.79,151.27
129,1195,Sydney,NSW,-33.79,151.27
130,1196,Sydney,NSW,-33.79,151.27
131,1197,Sydney,NSW,-33.79,151.27
132,1198,Sydney,NSW,-33.79,151.27
133,1199,Sydney,NSW,-33.79,151.27
134,1200,Sydney,NSW,-33.79,151.27
135,1201,Sydney,NSW,-33.79,151.27
136,1202,Sydney,NSW,-33.79,151.27
137,1203,Sydney,NSW,-33.79,151.27
138,1204,Sydney,NSW,-33.79,151.27
