price,distance_from_CBD,distance_from_closest_private_school,distance_from_closest_public_school,distance_from_closest_station,Violent.Crime,Non.Violent.Crime,Drug.offences,predicted,residuals
920000,0.661419186,0.38,0.788,0.298,1369,36823,3663,1154771.959172759,-234771.95917486772
1210000,0.753703447,0.243,0.478,0.163,1369,36823,3663,1141153.971950427,68846.02804869534
1750000,0.968281459,0.469,0.356,0.117,1369,36823,3663,1131891.9005546677,618108.0994453678
1280000,1.034113655,0.371,0.751,0.233,1369,36823,3663,1149181.5578806556,130818.4421193183
1060000,0.968281459,0.469,0.356,0.117,1369,36823,3663,1131891.9005546677,-71891.90055477704
1305000,0.746922521,0.846,0.232,0.176,1369,36823,3663,1126632.4909011677,178367.50909891294
990000,0.971712646,0.471,0.357,0.12,1369,36823,3663,1131928.833367714,-141928.8333677176
1115000,1.174898684,0.443,0.439,0.234,1369,36823,3663,1135307.172787712,-20307.172787727664
813000,0.654125161,0.341,0.844,0.351,1369,36823,3663,1158147.1970438655,-345147.1970438812
1825000,0.258159886,0.228,0.862,0.116,1369,36823,3663,1159694.0892756952,665305.910724289
1400000,0.403320108,0.207,0.819,0.257,1369,36823,3663,1159109.7662872612,240890.233712723
950000,0.667364173,0.414,0.737,0.252,1369,36823,3663,1151752.1510837676,-201752.15108378374
1390000,1.16372193,0.501,0.633,0.186,1369,36823,3663,1141642.0810209399,248357.91897904407
967500,1.090362014,0.539,0.444,0.192,1369,36823,3663,1134752.2929704774,-167252.2929704934
1340000,0.970435968,0.383,0.51,0.15,1369,36823,3663,1139070.4199196014,200929.58008038253
1900000,0.943215746,1.162,0.303,0.204,1369,36823,3663,1125312.3210520837,774687.6789479
1398000,1.380564457,0.611,0.757,0.108,1369,36823,3663,1142374.8973161126,255625.10268387164
1900000,0.667364173,0.414,0.737,0.252,1369,36823,3663,1151752.1510837676,748247.8489162162
1110000,0.557870067,0.294,0.5,0.131,1369,36823,3663,1142772.8358148923,-32772.83581490842
1600000,1.034113655,0.371,0.751,0.233,1369,36823,3663,1149181.5578806556,450818.4421193287
1152800,1.53409035,0.591,0.776,0.213,1369,36823,3663,1143549.2674804218,9250.732519562316
915000,0.968281459,0.469,0.356,0.117,1369,36823,3663,1131891.9005546677,-216891.90055468387
1100000,1.290067256,0.63,0.687,0.019,1369,36823,3663,1138937.8532109244,-38937.853210940266
740000,1.600483312,0.497,0.815,0.187,1369,36823,3663,1144902.0869519839,-404902.08695199963
1160000,1.115413252,0.499,0.39,0.247,1369,36823,3663,1133643.4898996365,26356.510100347587
1300000,0.753703447,0.243,0.478,0.163,1369,36823,3663,1141153.971950427,158846.02804955715
1740000,0.667364173,0.414,0.737,0.252,1369,36823,3663,1151752.1510837676,588247.8489162162
840000,1.177047343,0.437,0.42,0.259,1369,36823,3663,1134990.5881968602,-294990.588196876
740000,0.551494624,0.298,0.502,0.134,1369,36823,3663,1142916.2679023365,-402916.2679023524
1000000,0.968884151,0.381,0.511,0.151,1369,36823,3663,1139155.349482849,-139155.34948286478
2100000,0.403320108,0.207,0.819,0.257,1369,36823,3663,1159109.7662872612,940890.2337127229
